,date_time,PM2_5,PM10,SO2,NO2,CO,O3,TEMP
45,2013-03-02 21:00:00,69.0,76.0,51.0,82.0,1700.0,9.0,-1.2
46,2013-03-02 22:00:00,72.0,83.0,49.0,82.0,1600.0,8.0,-2.1
47,2013-03-02 23:00:00,62.0,71.0,68.0,87.0,2000.0,9.0,-2.2
48,2013-03-03 00:00:00,73.0,87.0,41.0,76.0,1500.0,7.0,-2.4
49,2013-03-03 01:00:00,50.0,60.0,36.0,73.0,1399.0,7.0,-3.8
50,2013-03-03 02:00:00,60.0,62.0,37.0,75.0,1500.0,7.0,-3.8
51,2013-03-03 03:00:00,60.0,63.0,41.0,74.0,1600.0,7.0,-4.0
52,2013-03-03 04:00:00,64.0,66.0,31.0,69.0,1200.0,6.0,-4.8
53,2013-03-03 05:00:00,56.0,58.0,34.0,71.0,1300.0,6.0,-5.6
54,2013-03-03 06:00:00,53.0,59.0,24.0,68.0,1399.0,6.0,-5.7
55,2013-03-03 07:00:00,52.0,62.0,25.0,68.0,1700.0,6.0,-3.3
56,2013-03-03 08:00:00,58.0,75.0,51.0,71.0,2399.0,12.0,-0.3
57,2013-03-03 09:00:00,81.0,106.0,69.0,72.0,2000.0,15.0,3.4
58,2013-03-03 10:00:00,84.0,101.0,78.0,84.0,2200.0,17.0,6.5
59,2013-03-03 11:00:00,106.0,148.0,91.0,93.0,1899.0,20.0,9.0
60,2013-03-03 12:00:00,110.0,135.0,78.0,89.0,1800.0,24.0,12.2
61,2013-03-03 13:00:00,113.0,151.0,64.0,80.0,1500.0,30.0,15.6
62,2013-03-03 14:00:00,100.0,151.0,36.0,53.0,1000.0,52.0,16.6
63,2013-03-03 15:00:00,68.0,128.0,14.0,20.0,400.0,78.0,17.0
64,2013-03-03 16:00:00,32.0,90.0,10.0,16.0,400.0,82.0,16.1
65,2013-03-03 17:00:00,21.0,71.0,27.0,21.0,400.0,76.0,13.9
66,2013-03-03 18:00:00,16.0,33.0,17.0,22.0,400.0,72.0,12.4
67,2013-03-03 19:00:00,18.0,43.0,12.0,35.0,600.0,59.0,8.9
68,2013-03-03 20:00:00,24.0,56.0,27.0,46.0,800.0,45.0,7.7
69,2013-03-03 21:00:00,29.0,55.0,27.0,42.0,700.0,47.0,6.9
70,2013-03-03 22:00:00,23.0,46.0,25.0,69.0,1300.0,19.0,6.8
71,2013-03-03 23:00:00,30.0,78.0,14.0,24.0,700.0,52.0,8.6
72,2013-03-04 00:00:00,25.0,42.0,30.0,22.0,400.0,57.0,9.2
73,2013-03-04 01:00:00,16.0,38.0,24.0,13.0,300.0,72.0,7.3
74,2013-03-04 02:00:00,8.0,31.0,29.0,14.0,300.0,74.0,6.1
75,2013-03-04 03:00:00,6.0,20.0,4.0,10.0,400.0,76.0,6.6
76,2013-03-04 04:00:00,7.0,13.0,3.0,10.0,300.0,80.0,4.8
77,2013-03-04 05:00:00,3.0,14.0,31.0,46.0,600.0,38.0,5.4
78,2013-03-04 06:00:00,10.0,24.0,43.0,43.0,500.0,39.0,4.2
79,2013-03-04 07:00:00,12.0,28.0,38.0,38.0,700.0,42.0,6.3
80,2013-03-04 08:00:00,12.0,32.0,29.0,34.0,700.0,48.0,8.9
81,2013-03-04 09:00:00,16.0,29.0,21.0,19.0,500.0,65.0,10.2
82,2013-03-04 10:00:00,14.0,23.0,16.0,12.0,400.0,76.0,11.4
83,2013-03-04 11:00:00,7.0,16.0,7.0,11.0,400.0,80.0,12.7
84,2013-03-04 12:00:00,8.0,22.0,6.0,9.0,400.0,85.0,14.6
85,2013-03-04 13:00:00,14.0,16.0,7.0,9.0,400.0,89.0,15.1
86,2013-03-04 14:00:00,11.0,13.0,14.0,11.0,400.0,91.0,16.1
87,2013-03-04 15:00:00,21.0,24.0,11.0,10.0,400.0,95.0,16.1
88,2013-03-04 16:00:00,10.0,17.0,10.0,12.0,400.0,92.0,14.8
89,2013-03-04 17:00:00,13.0,15.0,8.0,21.0,400.0,86.0,12.9
90,2013-03-04 18:00:00,17.0,29.0,14.0,40.0,500.0,81.0,11.3
91,2013-03-04 19:00:00,32.0,54.0,39.0,63.0,700.0,57.0,8.7
92,2013-03-04 20:00:00,43.0,71.0,66.0,91.0,1100.0,25.0,5.9
93,2013-03-04 21:00:00,64.0,99.0,41.0,88.0,1500.0,18.0,4.9
94,2013-03-04 22:00:00,76.0,123.0,25.0,57.0,1100.0,34.0,4.0
95,2013-03-04 23:00:00,54.0,75.0,21.0,43.0,1200.0,95.0,4.2
96,2013-03-05 00:00:00,57.0,69.0,20.0,37.0,900.0,95.0,2.8
97,2013-03-05 01:00:00,48.0,57.0,38.0,66.0,1600.0,95.0,1.8
98,2013-03-05 02:00:00,65.0,99.0,32.0,54.0,1399.0,95.0,0.8
99,2013-03-05 03:00:00,60.0,75.0,20.0,36.0,1100.0,95.0,0.2
100,2013-03-05 04:00:00,46.0,54.0,40.0,75.0,2299.0,95.0,-0.1
101,2013-03-05 05:00:00,72.0,113.0,33.0,61.0,1600.0,95.0,-0.4
102,2013-03-05 06:00:00,56.0,78.0,31.0,53.0,1100.0,95.0,-1.0
103,2013-03-05 07:00:00,51.0,66.0,34.0,69.0,2000.0,95.0,1.2
104,2013-03-05 08:00:00,68.0,105.0,40.0,66.0,1600.0,95.0,6.0
105,2013-03-05 09:00:00,68.0,92.0,64.0,75.0,1899.0,95.0,7.8
106,2013-03-05 10:00:00,87.0,117.0,81.0,92.0,2000.0,95.0,9.3
107,2013-03-05 11:00:00,107.0,160.0,66.0,80.0,1500.0,95.0,11.0
108,2013-03-05 12:00:00,109.0,139.0,52.0,65.0,1399.0,55.0,12.1
109,2013-03-05 13:00:00,118.0,133.0,56.0,55.0,1300.0,95.0,13.2
110,2013-03-05 14:00:00,126.0,127.0,57.0,60.0,1300.0,95.0,14.1
111,2013-03-05 15:00:00,124.0,129.0,62.0,76.0,1500.0,92.0,13.5
112,2013-03-05 16:00:00,149.0,153.0,59.0,81.0,1500.0,86.0,13.3
113,2013-03-05 17:00:00,151.0,158.0,74.0,104.0,1600.0,81.0,12.4
114,2013-03-05 18:00:00,158.0,168.0,64.0,106.0,1700.0,81.0,8.9
115,2013-03-05 19:00:00,161.0,172.0,69.0,123.0,1899.0,81.0,7.7
116,2013-03-05 20:00:00,173.0,187.0,68.0,127.0,2299.0,81.0,6.3
117,2013-03-05 21:00:00,191.0,210.0,55.0,94.0,2100.0,81.0,5.6
118,2013-03-05 22:00:00,181.0,183.0,52.0,78.0,1899.0,81.0,4.9
119,2013-03-05 23:00:00,141.0,160.0,50.0,74.0,1899.0,81.0,3.7
120,2013-03-06 00:00:00,152.0,154.0,65.0,115.0,2700.0,81.0,3.9
121,2013-03-06 01:00:00,180.0,195.0,52.0,72.0,2000.0,81.0,3.9
122,2013-03-06 02:00:00,146.0,153.0,,100.0,2399.0,81.0,3.5
123,2013-03-06 03:00:00,170.0,179.0,55.0,74.0,,81.0,3.7
124,2013-03-06 04:00:00,149.0,155.0,59.0,,2500.0,81.0,2.4
125,2013-03-06 05:00:00,182.0,202.0,79.0,101.0,2500.0,81.0,2.1
126,2013-03-06 06:00:00,182.0,187.0,86.0,94.0,2399.0,81.0,3.1
127,2013-03-06 07:00:00,187.0,190.0,82.0,93.0,2700.0,81.0,4.7
128,2013-03-06 08:00:00,195.0,200.0,86.0,85.0,2299.0,81.0,5.5
129,2013-03-06 09:00:00,193.0,200.0,81.0,86.0,2799.0,81.0,7.2
130,2013-03-06 10:00:00,200.0,219.0,109.0,114.0,3600.0,81.0,8.8
131,2013-03-06 11:00:00,239.0,280.0,123.0,126.0,3700.0,81.0,10.6
132,2013-03-06 12:00:00,271.0,324.0,142.0,142.0,3799.0,81.0,12.4
133,2013-03-06 13:00:00,281.0,315.0,118.0,135.0,3399.0,81.0,13.4
134,2013-03-06 14:00:00,263.0,284.0,121.0,152.0,3600.0,81.0,13.6
135,2013-03-06 15:00:00,293.0,347.0,118.0,160.0,3299.0,81.0,13.6
136,2013-03-06 16:00:00,302.0,352.0,112.0,158.0,3100.0,66.0,13.3
137,2013-03-06 17:00:00,312.0,342.0,107.0,141.0,2700.0,60.0,12.0
138,2013-03-06 18:00:00,280.0,300.0,110.0,135.0,2600.0,39.0,10.6
139,2013-03-06 19:00:00,265.0,281.0,104.0,137.0,2700.0,37.0,7.1
140,2013-03-06 20:00:00,268.0,285.0,107.0,136.0,3299.0,37.0,6.2
141,2013-03-06 21:00:00,272.0,281.0,136.0,156.0,4799.0,37.0,5.5
142,2013-03-06 22:00:00,339.0,394.0,118.0,148.0,5500.0,35.0,4.7
143,2013-03-06 23:00:00,326.0,360.0,113.0,140.0,4500.0,30.0,4.5
144,2013-03-07 00:00:00,282.0,287.0,98.0,131.0,3899.0,30.0,5.3
145,2013-03-07 01:00:00,206.0,249.0,77.0,117.0,3399.0,22.0,6.2
146,2013-03-07 02:00:00,227.0,228.0,80.0,111.0,3000.0,22.0,3.0
147,2013-03-07 03:00:00,208.0,211.0,72.0,105.0,2899.0,22.0,1.4
148,2013-03-07 04:00:00,198.0,200.0,73.0,110.0,3700.0,22.0,1.3
149,2013-03-07 05:00:00,201.0,215.0,67.0,108.0,4700.0,22.0,1.0
150,2013-03-07 06:00:00,202.0,234.0,72.0,102.0,4400.0,22.0,0.2
151,2013-03-07 07:00:00,175.0,206.0,65.0,95.0,4400.0,22.0,4.9
152,2013-03-07 08:00:00,143.0,180.0,114.0,96.0,5099.0,22.0,7.0
153,2013-03-07 09:00:00,140.0,200.0,92.0,114.0,4599.0,22.0,8.9
154,2013-03-07 10:00:00,169.0,240.0,138.0,150.0,4200.0,22.0,12.5
155,2013-03-07 11:00:00,225.0,309.0,100.0,111.0,2299.0,22.0,15.0
156,2013-03-07 12:00:00,174.0,183.0,58.0,62.0,1300.0,41.0,16.3
157,2013-03-07 13:00:00,71.0,82.0,46.0,53.0,1100.0,65.0,17.3
158,2013-03-07 14:00:00,83.0,88.0,53.0,98.0,1600.0,65.0,16.6
159,2013-03-07 15:00:00,137.0,133.0,73.0,177.0,2500.0,65.0,16.8
160,2013-03-07 16:00:00,207.0,230.0,81.0,186.0,2899.0,65.0,16.6
161,2013-03-07 17:00:00,258.0,285.0,80.0,163.0,2799.0,65.0,14.5
162,2013-03-07 18:00:00,264.0,298.0,77.0,141.0,2500.0,65.0,12.5
163,2013-03-07 19:00:00,241.0,247.0,105.0,191.0,3200.0,21.0,11.8
164,2013-03-07 20:00:00,256.0,286.0,98.0,199.0,3399.0,65.0,9.8
165,2013-03-07 21:00:00,262.0,282.0,96.0,171.0,3000.0,65.0,7.9
166,2013-03-07 22:00:00,238.0,241.0,82.0,166.0,3799.0,65.0,8.1
167,2013-03-07 23:00:00,249.0,261.0,70.0,145.0,3500.0,65.0,6.8
168,2013-03-08 00:00:00,224.0,238.0,60.0,132.0,3200.0,65.0,5.9
169,2013-03-08 01:00:00,216.0,227.0,68.0,140.0,5299.0,65.0,4.4
170,2013-03-08 02:00:00,263.0,292.0,71.0,141.0,6299.0,65.0,4.0
171,2013-03-08 03:00:00,290.0,328.0,68.0,131.0,5000.0,65.0,4.5
172,2013-03-08 04:00:00,257.0,273.0,63.0,125.0,4700.0,65.0,16.7
173,2013-03-08 05:00:00,233.0,235.0,57.0,105.0,3299.0,65.0,15.4
174,2013-03-08 06:00:00,193.0,211.0,30.0,36.0,700.0,65.0,12.7
175,2013-03-08 07:00:00,72.0,135.0,44.0,85.0,1500.0,65.0,14.9
176,2013-03-08 08:00:00,79.0,159.0,46.0,84.0,1700.0,65.0,11.2
177,2013-03-08 09:00:00,85.0,182.0,66.0,87.0,2399.0,65.0,14.5
178,2013-03-08 10:00:00,180.0,257.0,59.4048,94.0274,,65.0,17.3
179,2013-03-08 11:00:00,207.0,264.0,63.0,96.0,2200.0,65.0,19.3
180,2013-03-08 12:00:00,179.0,222.0,43.0,76.0,1700.0,67.0,20.6
181,2013-03-08 13:00:00,153.0,202.0,37.0,75.0,1500.0,77.0,21.9
182,2013-03-08 14:00:00,159.0,244.0,40.0,88.0,1600.0,86.0,17.6
183,2013-03-08 15:00:00,443.0,653.0,80.0,141.0,4500.0,107.0,14.8
184,2013-03-08 16:00:00,289.0,438.0,83.0,86.0,2899.0,107.0,13.1
185,2013-03-08 17:00:00,173.0,252.0,73.0,65.0,1899.0,107.0,11.7
186,2013-03-08 18:00:00,141.0,213.0,69.0,65.0,1500.0,107.0,10.4
187,2013-03-08 19:00:00,112.0,182.0,58.0,62.0,1399.0,107.0,9.4
188,2013-03-08 20:00:00,113.0,158.0,63.0,67.0,1300.0,107.0,8.6
189,2013-03-08 21:00:00,117.0,138.0,62.0,69.0,1100.0,107.0,7.6
190,2013-03-08 22:00:00,99.0,118.0,50.0,59.0,1300.0,107.0,6.8
191,2013-03-08 23:00:00,100.0,132.0,50.0,63.0,1600.0,107.0,5.6
192,2013-03-09 00:00:00,100.0,133.0,56.0,65.0,1700.0,107.0,4.3
193,2013-03-09 01:00:00,96.0,103.0,53.0,50.0,1700.0,107.0,3.9
194,2013-03-09 02:00:00,102.0,132.0,36.0,51.0,1800.0,107.0,3.0
195,2013-03-09 03:00:00,107.0,128.0,28.0,43.0,1500.0,107.0,2.4
196,2013-03-09 04:00:00,97.0,112.0,33.0,40.0,1399.0,107.0,1.9
197,2013-03-09 05:00:00,104.0,123.0,51.0,73.0,1700.0,107.0,2.0
198,2013-03-09 06:00:00,106.0,128.0,62.0,87.0,1700.0,107.0,1.8
199,2013-03-09 07:00:00,104.0,131.0,65.0,83.0,1899.0,107.0,6.0
200,2013-03-09 08:00:00,116.0,162.0,82.0,91.0,2200.0,107.0,14.2
201,2013-03-09 09:00:00,142.0,366.0,86.0,63.0,1700.0,107.0,16.8
202,2013-03-09 10:00:00,106.0,579.0,34.0,26.0,900.0,107.0,14.4
203,2013-03-09 11:00:00,28.0,305.0,8.0,11.0,400.0,107.0,12.9
204,2013-03-09 12:00:00,35.0,595.0,3.0,4.0,300.0,107.0,10.7
205,2013-03-09 13:00:00,20.0,438.0,3.0,4.0,300.0,107.0,9.6
206,2013-03-09 14:00:00,21.0,360.0,3.0,5.0,300.0,107.0,10.3
207,2013-03-09 15:00:00,22.0,260.0,4.0,7.0,300.0,97.0,10.3
208,2013-03-09 16:00:00,9.0,191.0,8.0,8.0,300.0,94.0,9.2
209,2013-03-09 17:00:00,13.0,196.0,3.0,7.0,300.0,94.0,7.7
210,2013-03-09 18:00:00,15.0,110.0,6.0,9.0,300.0,94.0,6.6
211,2013-03-09 19:00:00,13.0,83.0,17.0,13.0,400.0,94.0,5.7
212,2013-03-09 20:00:00,12.0,64.0,13.0,10.0,300.0,94.0,5.0
213,2013-03-09 21:00:00,8.0,55.0,18.0,12.0,300.0,94.0,4.8
214,2013-03-09 22:00:00,14.0,29.0,3.0,7.0,400.0,94.0,3.8
215,2013-03-09 23:00:00,8.0,22.0,3.0,8.0,400.0,94.0,3.4
216,2013-03-10 00:00:00,12.0,20.0,3.0,10.0,500.0,94.0,4.4
217,2013-03-10 01:00:00,13.0,19.0,7.0,14.0,500.0,94.0,4.9
218,2013-03-10 02:00:00,10.0,11.0,8.0,15.0,600.0,94.0,4.5
219,2013-03-10 03:00:00,3.0,7.0,9.0,24.0,,94.0,4.1
220,2013-03-10 04:00:00,3.0,8.0,11.0,24.0,400.0,94.0,4.7
221,2013-03-10 05:00:00,3.0,14.0,19.0,19.0,300.0,94.0,4.3
222,2013-03-10 06:00:00,10.0,13.0,22.0,20.0,300.0,94.0,3.6
223,2013-03-10 07:00:00,12.0,18.0,27.0,43.0,500.0,94.0,5.7
224,2013-03-10 08:00:00,20.0,46.0,31.0,67.0,1100.0,94.0,8.0
225,2013-03-10 09:00:00,16.0,17.0,14.0,31.0,600.0,94.0,9.4
226,2013-03-10 10:00:00,6.0,10.0,9.0,16.0,400.0,94.0,10.6
227,2013-03-10 11:00:00,12.0,32.0,14.0,25.0,400.0,94.0,10.4
228,2013-03-10 12:00:00,21.0,48.0,12.0,24.0,400.0,94.0,11.3
229,2013-03-10 13:00:00,20.0,36.0,11.0,20.0,500.0,94.0,12.1
230,2013-03-10 14:00:00,22.0,37.0,12.0,19.0,400.0,92.0,11.9
231,2013-03-10 15:00:00,27.0,45.0,11.0,19.0,400.0,103.0,11.7
232,2013-03-10 16:00:00,40.0,69.0,13.0,22.0,400.0,103.0,10.9
233,2013-03-10 17:00:00,41.0,75.0,30.0,28.0,500.0,103.0,9.5
234,2013-03-10 18:00:00,47.0,82.0,58.0,44.0,500.0,103.0,8.8
235,2013-03-10 19:00:00,51.0,102.0,30.0,44.0,600.0,103.0,7.2
236,2013-03-10 20:00:00,69.0,118.0,29.0,73.0,900.0,103.0,5.8
237,2013-03-10 21:00:00,80.0,118.0,35.0,68.0,1100.0,103.0,4.7
238,2013-03-10 22:00:00,95.0,131.0,42.0,81.0,1300.0,103.0,4.2
239,2013-03-10 23:00:00,93.0,127.0,41.0,73.0,1300.0,103.0,2.3
240,2013-03-11 00:00:00,79.0,107.0,34.0,53.0,1100.0,103.0,1.6
241,2013-03-11 01:00:00,69.0,89.0,26.0,38.0,1000.0,103.0,0.5
242,2013-03-11 02:00:00,91.0,137.0,36.0,81.0,2100.0,103.0,0.1
243,2013-03-11 03:00:00,78.0,102.0,34.0,58.0,1200.0,103.0,-1.4
244,2013-03-11 04:00:00,76.0,98.0,32.0,59.0,1300.0,103.0,-2.0
245,2013-03-11 05:00:00,91.0,141.0,31.0,83.0,2299.0,103.0,-1.8
246,2013-03-11 06:00:00,98.0,164.0,37.0,78.0,2100.0,103.0,-1.7
247,2013-03-11 07:00:00,83.0,109.0,34.0,73.0,1399.0,103.0,-0.2
248,2013-03-11 08:00:00,114.0,173.0,53.0,79.0,2299.0,103.0,2.7
249,2013-03-11 09:00:00,120.0,186.0,67.0,82.0,2100.0,103.0,4.9
250,2013-03-11 10:00:00,125.0,180.0,96.0,85.0,1800.0,103.0,6.3
251,2013-03-11 11:00:00,117.0,153.0,70.0,66.0,1399.0,103.0,6.8
252,2013-03-11 12:00:00,129.0,153.0,78.0,70.0,1500.0,103.0,8.3
253,2013-03-11 13:00:00,128.0,153.0,75.0,74.0,1399.0,103.0,9.0
254,2013-03-11 14:00:00,150.0,181.0,85.0,97.0,1700.0,103.0,9.8
255,2013-03-11 15:00:00,152.0,170.0,89.0,102.0,1600.0,103.0,10.0
256,2013-03-11 16:00:00,150.0,172.0,103.0,105.0,1500.0,96.0,10.0
257,2013-03-11 17:00:00,148.0,173.0,119.0,105.0,1500.0,75.0,9.8
258,2013-03-11 18:00:00,148.0,187.0,131.0,96.0,1700.0,72.0,9.7
259,2013-03-11 19:00:00,155.0,222.0,160.0,115.0,2000.0,47.0,9.5
260,2013-03-11 20:00:00,169.0,233.0,164.0,118.0,2299.0,47.0,9.4
261,2013-03-11 21:00:00,174.0,223.0,146.0,111.0,2200.0,47.0,9.4
262,2013-03-11 22:00:00,172.0,223.0,115.0,104.0,2000.0,47.0,9.2
263,2013-03-11 23:00:00,159.0,202.0,84.0,104.0,1700.0,47.0,8.8
264,2013-03-12 00:00:00,150.0,189.0,74.0,102.0,1600.0,47.0,8.3
265,2013-03-12 01:00:00,132.0,168.0,64.0,94.0,1500.0,42.0,7.7
266,2013-03-12 02:00:00,123.0,157.0,58.0,84.0,1600.0,42.0,7.7
267,2013-03-12 03:00:00,121.0,150.0,65.0,82.0,1500.0,42.0,6.3
268,2013-03-12 04:00:00,130.0,154.0,65.0,82.0,1600.0,42.0,6.2
269,2013-03-12 05:00:00,126.0,164.0,54.0,84.0,1899.0,42.0,5.3
270,2013-03-12 06:00:00,124.0,168.0,56.0,85.0,1800.0,42.0,3.4
271,2013-03-12 07:00:00,124.0,125.0,17.0,82.0,1800.0,42.0,3.1
272,2013-03-12 08:00:00,100.0,106.0,16.0,81.0,1700.0,42.0,2.7
273,2013-03-12 09:00:00,122.0,106.0,17.0,75.0,1700.0,42.0,3.1
274,2013-03-12 10:00:00,129.0,102.0,16.0,74.0,1700.0,42.0,3.6
275,2013-03-12 11:00:00,119.0,137.0,16.0,83.0,2200.0,42.0,3.8
276,2013-03-12 12:00:00,150.0,138.0,20.0,81.0,1899.0,42.0,4.4
277,2013-03-12 13:00:00,136.0,107.0,35.0,78.0,1600.0,34.0,5.0
278,2013-03-12 14:00:00,128.0,139.0,45.0,80.0,1899.0,34.0,5.3
279,2013-03-12 15:00:00,156.0,167.0,34.0,85.0,2000.0,34.0,6.3
280,2013-03-12 16:00:00,180.0,188.0,39.0,88.0,2299.0,32.0,6.7
281,2013-03-12 17:00:00,210.0,188.0,45.0,96.0,2299.0,29.0,6.6
282,2013-03-12 18:00:00,201.0,174.0,40.0,95.0,2200.0,10.0,5.5
283,2013-03-12 19:00:00,203.0,177.0,72.0,95.0,2299.0,8.0,4.0
284,2013-03-12 20:00:00,185.0,192.0,33.0,98.0,2600.0,8.0,4.6
285,2013-03-12 21:00:00,203.0,193.0,51.0,91.0,2799.0,8.0,5.6
286,2013-03-12 22:00:00,47.0,47.0,42.0,31.0,700.0,45.0,5.0
287,2013-03-12 23:00:00,9.0,9.0,45.0,16.0,400.0,68.0,4.3
288,2013-03-13 00:00:00,3.0,6.0,37.0,12.0,300.0,74.0,3.0
289,2013-03-13 01:00:00,13.0,6.0,12.0,6.0,400.0,79.0,2.6
290,2013-03-13 02:00:00,8.0,8.0,7.0,7.0,400.0,79.0,2.5
291,2013-03-13 03:00:00,6.0,6.0,5.0,7.0,300.0,80.0,1.6
292,2013-03-13 04:00:00,7.0,11.0,13.0,34.0,400.0,80.0,2.0
293,2013-03-13 05:00:00,3.0,8.0,19.0,38.0,400.0,80.0,0.0
294,2013-03-13 06:00:00,3.0,10.0,17.0,30.0,500.0,80.0,0.6
295,2013-03-13 07:00:00,3.0,8.0,18.0,37.0,600.0,80.0,3.3
296,2013-03-13 08:00:00,3.0,6.0,10.0,22.0,400.0,80.0,4.5
297,2013-03-13 09:00:00,8.0,6.0,9.0,13.0,300.0,80.0,5.5
298,2013-03-13 10:00:00,3.0,6.0,16.0,12.0,300.0,81.0,6.3
299,2013-03-13 11:00:00,3.0,6.0,6.0,10.0,300.0,85.0,7.4
300,2013-03-13 12:00:00,3.0,6.0,7.0,10.0,300.0,85.0,8.2
301,2013-03-13 13:00:00,3.0,6.0,9.0,11.0,300.0,85.0,9.2
302,2013-03-13 14:00:00,14.0,6.0,8.0,11.0,300.0,88.0,9.6
303,2013-03-13 15:00:00,3.0,9.0,6.0,11.0,300.0,90.0,10.0
304,2013-03-13 16:00:00,3.0,6.0,8.0,11.0,300.0,92.0,8.2
305,2013-03-13 17:00:00,17.0,22.0,8.0,19.0,300.0,92.0,7.1
306,2013-03-13 18:00:00,17.0,24.0,11.0,25.0,400.0,92.0,6.1
307,2013-03-13 19:00:00,26.0,39.0,9.0,35.0,500.0,92.0,5.3
308,2013-03-13 20:00:00,42.0,48.0,16.0,45.0,700.0,92.0,4.4
309,2013-03-13 21:00:00,38.0,49.0,15.0,52.0,700.0,92.0,3.5
310,2013-03-13 22:00:00,39.0,58.0,19.0,67.0,800.0,92.0,1.5
311,2013-03-13 23:00:00,50.0,64.0,25.0,75.0,1000.0,92.0,1.4
312,2013-03-14 00:00:00,54.0,64.0,24.0,73.0,1100.0,92.0,2.5
313,2013-03-14 01:00:00,61.0,77.0,31.0,83.0,1100.0,92.0,1.4
314,2013-03-14 02:00:00,76.0,112.0,31.0,77.0,1500.0,92.0,0.6
315,2013-03-14 03:00:00,80.0,88.0,23.0,69.0,,92.0,0.0
316,2013-03-14 04:00:00,73.0,75.0,21.0,69.0,1500.0,92.0,-0.4
317,2013-03-14 05:00:00,58.0,66.0,25.0,54.0,1399.0,92.0,-0.8
318,2013-03-14 06:00:00,56.0,66.0,28.0,52.0,1300.0,92.0,-1.6
